variant,seed,mlm_loss,pretrain_seconds,pretrain_params,encoder_ckpt_path,stage1_acc,stage1_auc,stage1_mcc,stage1_seconds,stage1_params,stage2_acc,stage2_auc,stage2_mcc,stage2_seconds,stage2_params,deploy_params,train_seconds_total,stage1_acc_scratch,stage1_auc_scratch,stage1_mcc_scratch,stage2_acc_scratch,stage2_auc_scratch,stage2_mcc_scratch,transfer_gain_mcc,transfer_gain_auc,transfer_efficiency,cost,norm_mlm_loss,norm_stage1_mcc,norm_stage2_mcc,norm_transfer_efficiency,norm_cost,score
baseline,1337,3.816605,784.994595,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.745199,0.817079,0.497631,46.143522,11265057,0.575221,0.586722,0.138634,39.246592,11260961,11265057,870.384710,0.754801,0.820640,0.509744,0.569322,0.575772,0.125889,0.000316,0.003695,0.000000,11265057.000000,0.000202,0.826800,0.944240,0.749071,0.000000,0.732255
no_alibi,1337,3.800787,838.992487,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.754062,0.822088,0.510784,44.426925,11265057,0.566372,0.586032,0.145736,38.929468,11260961,11265057,922.348881,0.757016,0.819448,0.514383,0.566372,0.574200,0.120568,0.010784,0.007236,0.000012,11265057.000000,1.000000,0.848654,1.000000,1.000000,0.000000,0.947029
no_attention_pool,1337,3.816607,848.421480,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.731167,0.814190,0.464684,48.407438,11067425,0.525074,0.492089,0.018369,38.316190,11063329,11067425,935.145108,0.725258,0.808963,0.451561,0.530973,0.546262,0.040772,-0.004640,-0.024473,-0.000005,11067425.000000,0.000101,0.772060,0.000000,0.631122,0.083414,0.373246
no_tcn,1337,3.816605,852.128887,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.771787,0.841930,0.551309,34.514988,9395713,0.504425,0.541805,0.083005,26.860793,9391617,9395713,913.504667,0.771787,0.837060,0.544074,0.511799,0.547725,0.070459,0.009890,-0.000525,0.000011,9395713.000000,0.000247,0.915984,0.507482,0.980827,0.788992,0.724274
no_postcnn_transformer,1337,3.816597,835.880518,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.682422,0.831178,0.431752,32.109053,8895777,0.545723,0.542442,0.075198,25.024261,8891681,8895777,893.013833,0.705318,0.826083,0.456955,0.547198,0.541752,0.084295,-0.017150,0.002892,-0.000019,8895777.000000,0.000713,0.717344,0.446189,0.315642,1.000000,0.554690
no_engineered_features,1337,3.816600,876.662627,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.500000,0.700969,0.000000,40.806483,10025121,0.525074,0.526864,0.054930,37.638707,10025121,10025121,955.107817,0.515510,0.770108,0.107130,0.528024,0.542804,0.011706,-0.031953,-0.042540,-0.000033,10025121.000000,0.000517,0.000000,0.287051,0.000000,0.523339,0.152879
no_tnc,1337,3.816609,947.285405,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.736337,0.809722,0.480149,47.654182,11265057,0.575221,0.586722,0.138634,39.922996,11260961,11265057,1034.862584,0.746677,0.816392,0.493397,0.569322,0.575776,0.125889,-0.000251,0.002138,-0.000000,11265057.000000,0.000000,0.797755,0.944240,0.735650,0.000000,0.720046
no_pstnp,1337,3.816602,847.682151,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.797637,0.872284,0.601875,46.710840,11265057,0.575221,0.586731,0.138634,39.854518,11260961,11265057,934.247509,0.804284,0.868256,0.608860,0.569322,0.575776,0.125889,0.002880,0.007491,0.000003,11265057.000000,0.000424,1.000000,0.944240,0.809309,0.000000,0.801944
no_pseeiip,1337,3.816604,879.687031,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.745199,0.816961,0.497631,46.147621,11265057,0.575221,0.586722,0.138634,39.490301,11260961,11265057,965.324952,0.756278,0.820618,0.512699,0.569322,0.575772,0.125889,-0.001161,0.003647,-0.000001,11265057.000000,0.000315,0.826800,0.944240,0.714378,0.000000,0.727068
no_cksnap,1337,3.816597,854.399134,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.742984,0.810566,0.492512,46.461601,11265057,0.575221,0.586722,0.138634,39.499521,11260961,11265057,940.360256,0.745938,0.815541,0.492239,0.569322,0.575772,0.125889,0.006509,0.002988,0.000007,11265057.000000,0.000728,0.818296,0.944240,0.894342,0.000000,0.751148
diet_combo,1337,3.816602,930.209325,6402372,/Users/flavorisbelue/Desktop/Genomancer/Gene Whisperer/artifacts/mlm_encoder_k3.pt,0.771787,0.841924,0.551309,31.750132,9395713,0.504425,0.541752,0.083005,26.155071,9391617,9395713,988.114528,0.771787,0.837062,0.544074,0.511799,0.547734,0.070459,0.009890,-0.000560,0.000010,9395713.000000,0.000448,0.915984,0.507482,0.962720,0.788992,0.721588
