variant,seeds,n_seeds,mlm_loss_mean,mlm_loss_std,stage1_mcc_mean,stage1_mcc_std,stage1_auc_mean,stage1_auc_std,stage2_mcc_mean,stage2_mcc_std,stage2_auc_mean,stage2_auc_std,transfer_efficiency_mean,transfer_efficiency_std,deploy_params_mean,deploy_params_std,train_seconds_total_mean,train_seconds_total_std,cost_mean,cost_std,score_mean,score_std
baseline,1337,1,3.816605,0.000000,0.497631,0.000000,0.817079,0.000000,0.138634,0.000000,0.586722,0.000000,0.000000,0.000000,11265057.000000,0.000000,870.384710,0.000000,11265057.000000,0.000000,0.732255,0.000000
no_alibi,1337,1,3.800787,0.000000,0.510784,0.000000,0.822088,0.000000,0.145736,0.000000,0.586032,0.000000,0.000012,0.000000,11265057.000000,0.000000,922.348881,0.000000,11265057.000000,0.000000,0.947029,0.000000
no_attention_pool,1337,1,3.816607,0.000000,0.464684,0.000000,0.814190,0.000000,0.018369,0.000000,0.492089,0.000000,-0.000005,0.000000,11067425.000000,0.000000,935.145108,0.000000,11067425.000000,0.000000,0.373246,0.000000
no_tcn,1337,1,3.816605,0.000000,0.551309,0.000000,0.841930,0.000000,0.083005,0.000000,0.541805,0.000000,0.000011,0.000000,9395713.000000,0.000000,913.504667,0.000000,9395713.000000,0.000000,0.724274,0.000000
no_postcnn_transformer,1337,1,3.816597,0.000000,0.431752,0.000000,0.831178,0.000000,0.075198,0.000000,0.542442,0.000000,-0.000019,0.000000,8895777.000000,0.000000,893.013833,0.000000,8895777.000000,0.000000,0.554690,0.000000
no_engineered_features,1337,1,3.816600,0.000000,0.000000,0.000000,0.700969,0.000000,0.054930,0.000000,0.526864,0.000000,-0.000033,0.000000,10025121.000000,0.000000,955.107817,0.000000,10025121.000000,0.000000,0.152879,0.000000
no_tnc,1337,1,3.816609,0.000000,0.480149,0.000000,0.809722,0.000000,0.138634,0.000000,0.586722,0.000000,-0.000000,0.000000,11265057.000000,0.000000,1034.862584,0.000000,11265057.000000,0.000000,0.720046,0.000000
no_pstnp,1337,1,3.816602,0.000000,0.601875,0.000000,0.872284,0.000000,0.138634,0.000000,0.586731,0.000000,0.000003,0.000000,11265057.000000,0.000000,934.247509,0.000000,11265057.000000,0.000000,0.801944,0.000000
no_pseeiip,1337,1,3.816604,0.000000,0.497631,0.000000,0.816961,0.000000,0.138634,0.000000,0.586722,0.000000,-0.000001,0.000000,11265057.000000,0.000000,965.324952,0.000000,11265057.000000,0.000000,0.727068,0.000000
no_cksnap,1337,1,3.816597,0.000000,0.492512,0.000000,0.810566,0.000000,0.138634,0.000000,0.586722,0.000000,0.000007,0.000000,11265057.000000,0.000000,940.360256,0.000000,11265057.000000,0.000000,0.751148,0.000000
diet_combo,1337,1,3.816602,0.000000,0.551309,0.000000,0.841924,0.000000,0.083005,0.000000,0.541752,0.000000,0.000010,0.000000,9395713.000000,0.000000,988.114528,0.000000,9395713.000000,0.000000,0.721588,0.000000
