name,seeds,n_seeds,auc_mean,auc_std,acc_mean,acc_std,mcc_mean,mcc_std,delta_auc,delta_acc,delta_mcc
baseline,1337,1,0.825488,0.000000,0.750369,0.000000,0.508523,0.000000,0.000000,0.000000,0.000000
no_engineered_features,1337,1,0.757695,0.000000,0.692762,0.000000,0.386341,0.000000,0.067793,0.057607,0.122181
no_tnc,1337,1,0.814437,0.000000,0.740768,0.000000,0.488142,0.000000,0.011051,0.009601,0.020380
no_cksnap,1337,1,0.817184,0.000000,0.745199,0.000000,0.495728,0.000000,0.008304,0.005170,0.012795
no_postcnn_transformer,1337,1,0.818715,0.000000,0.740030,0.000000,0.481270,0.000000,0.006772,0.010340,0.027252
no_alibi,1337,1,0.825483,0.000000,0.750369,0.000000,0.508523,0.000000,0.000004,0.000000,0.000000
no_pseeiip,1337,1,0.825486,0.000000,0.750369,0.000000,0.508523,0.000000,0.000002,0.000000,0.000000
no_attention_pool,1337,1,0.831518,0.000000,0.757755,0.000000,0.517977,0.000000,-0.006031,-0.007386,-0.009454
no_tcn,1337,1,0.833598,0.000000,0.759232,0.000000,0.518520,0.000000,-0.008110,-0.008863,-0.009998
no_pstnp,1337,1,0.871162,0.000000,0.808715,0.000000,0.617431,0.000000,-0.045675,-0.058346,-0.108908
