epoch,train_loss,val_loss,gap_loss,train_masked_acc,val_masked_acc,gap_acc,embedding_weight_norm,grad_norm,lr
1,3.848202,3.779830,0.068372,0.130170,0.135841,-0.005671,2.3261,0.654474,1.66666667e-05
2,3.700919,3.539816,0.161103,0.144966,0.165050,-0.020084,2.4261,1.065425,3.33333333e-05
3,2.710752,0.896159,1.814593,0.333214,0.685199,-0.351985,2.3895,1.155092,5.00000000e-05
4,0.859658,0.753730,0.105929,0.691074,0.708349,-0.017275,2.5980,0.576590,6.66666667e-05
5,0.780218,0.726148,0.054070,0.701937,0.713240,-0.011303,2.7318,0.492766,8.33333333e-05
6,0.728308,0.677972,0.050336,0.709933,0.722249,-0.012316,2.8207,0.446438,1.00000000e-04
7,0.689396,0.651211,0.038185,0.716289,0.724484,-0.008195,2.8829,0.380512,1.16666667e-04
8,0.658102,0.627337,0.030766,0.720903,0.729107,-0.008204,2.9406,0.346420,1.33333333e-04
9,0.639673,0.619660,0.020013,0.724702,0.731690,-0.006988,3.0112,0.310809,1.50000000e-04
10,0.631020,0.617056,0.013964,0.727523,0.732429,-0.004906,3.1005,0.267556,1.66666667e-04
11,0.623507,0.611621,0.011886,0.730142,0.733895,-0.003752,3.2008,0.360707,1.83333333e-04
12,0.617690,0.609118,0.008572,0.732148,0.735734,-0.003586,3.3130,0.266416,2.00000000e-04
13,0.612842,0.600691,0.012151,0.734157,0.739609,-0.005452,3.4336,0.244682,1.99987434e-04
14,0.608737,0.599764,0.008973,0.735984,0.740023,-0.004039,3.5511,0.239433,1.99949741e-04
15,0.606918,0.600739,0.006179,0.736656,0.739582,-0.002927,3.6620,0.220054,1.99886930e-04
16,0.604220,0.596683,0.007537,0.737806,0.740464,-0.002658,3.7638,0.214561,1.99799019e-04
17,0.602204,0.596912,0.005292,0.738697,0.740480,-0.001783,3.8650,0.217883,1.99686033e-04
18,0.600391,0.594915,0.005475,0.739744,0.741543,-0.001798,3.9630,0.216353,1.99548003e-04
19,0.598089,0.592644,0.005445,0.740390,0.741835,-0.001445,4.0531,0.222581,1.99384968e-04
20,0.597544,0.592061,0.005483,0.740497,0.742550,-0.002053,4.1355,0.193905,1.99196974e-04
21,0.597315,0.591464,0.005851,0.740920,0.743916,-0.002996,4.2245,0.197744,1.98984072e-04
22,0.595231,0.592177,0.003054,0.741848,0.744125,-0.002277,4.3046,0.197928,1.98746323e-04
23,0.594977,0.587868,0.007109,0.741783,0.745737,-0.003954,4.3866,0.189103,1.98483792e-04
24,0.594164,0.587056,0.007108,0.742457,0.744214,-0.001757,4.4644,0.193529,1.98196553e-04
25,0.592305,0.587935,0.004370,0.742868,0.744889,-0.002021,4.5412,0.195472,1.97884687e-04
26,0.591386,0.587748,0.003638,0.743161,0.746021,-0.002860,4.6141,0.188091,1.97548280e-04
