epoch,train_loss,val_loss,gap_loss,train_masked_acc,val_masked_acc,gap_acc,embedding_weight_norm,grad_norm,lr
1,7.880842,7.421718,0.459124,0.017726,0.046979,-0.029253,22.0643,0.236532,4.16666667e-05
2,7.186566,6.960754,0.225812,0.076640,0.096042,-0.019402,22.1269,0.290682,8.33333333e-05
3,6.787727,6.549515,0.238212,0.105406,0.118192,-0.012786,22.2758,0.679472,1.25000000e-04
4,6.423064,6.280646,0.142418,0.124067,0.130822,-0.006755,22.5256,0.502321,1.66666667e-04
5,6.213408,6.134874,0.078534,0.133941,0.138241,-0.004300,22.8907,3.343942,2.08333333e-04
6,6.073477,6.024417,0.049060,0.142021,0.143236,-0.001215,23.3942,0.673129,2.50000000e-04
7,5.950770,5.930725,0.020046,0.150096,0.147783,0.002313,24.0868,1.338914,2.91666667e-04
8,5.861300,5.842075,0.019226,0.154641,0.152373,0.002268,24.9632,0.797804,3.33333333e-04
9,5.790536,5.812618,-0.022082,0.158383,0.153470,0.004914,26.0339,0.437856,3.75000000e-04
10,5.738367,5.774049,-0.035682,0.161270,0.156002,0.005267,27.3011,0.607662,4.16666667e-04
11,5.686469,5.715613,-0.029144,0.164681,0.159191,0.005491,28.7719,0.446032,4.58333333e-04
12,5.626986,5.665802,-0.038816,0.167566,0.160888,0.006678,30.4601,0.448708,5.00000000e-04
